20231213	10:38:36	8a0dd76d-1d45-4db2-83cd-871862113197	/new-page	GET
20231213	10:38:36	85763c2b-292b-43d9-b95f-1170bef4639a	/css/style.css	GET
20231213	10:38:36	9042c082-f3c8-418d-bac8-c69a76fdc79b	/img/img1.jpg	GET
20231213	13:44:24	8fe45f58-da5f-4e57-ae38-9e1589a0f47e	GET	 undefined 	/
20231213	13:44:24	1dc5dc04-5ef7-4a58-82fb-50eac859faf4	GET	 undefined 	/css/style.css
20231213	13:46:47	5909ffd8-72d2-4abc-bd35-bf418c1befc8	GET	 undefined 	/
20231213	13:46:47	fcc6b581-0b48-4c9a-95dd-ab92de85a7af	GET	 undefined 	/css/style.css
20231213	13:50:27	084bc988-51ee-42c2-9fcf-b09854ac38cb	OPTIONS	 https://www.google.com 	/
20231213	13:50:27	e3b54bfd-8fc6-46ea-be07-5d2e6ba692d0	GET	 https://www.google.com 	/
20231213	13:55:07	5e5c2a4b-692b-4aa9-b5ce-2b5ceced97bc	OPTIONS	 https://www.google.com 	/
20231213	13:55:07	de79640c-6a14-4062-9e08-f58bb9092930	GET	 https://www.google.com 	/
20231213	13:56:38	dd44d6cf-0734-4717-a488-0d12baa1369b	OPTIONS	 https://www.google.com 	/
20231213	13:56:38	3fdd2899-1690-443f-b190-01979df1f801	GET	 https://www.google.com 	/
20231213	13:57:42	1a9f15e1-4311-4c25-abab-ec279bbbf58c	OPTIONS	 https://www.google.com 	/
20231213	13:57:42	9d652d36-97ad-465f-992c-9f68cb2854e4	GET	 https://www.google.com 	/
20231213	13:57:46	90d3d316-db99-419d-923f-30ae341a5d50	GET	 https://www.google.com 	/
20231213	13:58:42	df2c273f-e8a4-44b4-93f8-551bb71b173b	OPTIONS	 https://www.google.com 	/
20231213	13:58:42	07f7f283-beb4-4ebe-933c-ef950da580f4	GET	 https://www.google.com 	/
20231213	13:59:21	9937a7fe-368a-4b61-bb24-e97fcfa0b7c9	OPTIONS	 https://www.google.com 	/
20231213	13:59:21	7e87c954-0e7d-475f-9de6-382f5ecf669b	GET	 https://www.google.com 	/
20231213	14:03:10	f42832c1-91b7-4eb9-bea5-32e4de035274	GET	 undefined 	/
20231213	14:04:22	a8f803f8-9088-4ac8-ab73-e84892e31cb4	GET	 undefined 	/
20231213	14:04:22	1a2e21c9-9dbc-4c47-8698-51dcc171f9ed	GET	 undefined 	/css/style.css
20231213	14:10:26	3f003726-0a77-4be5-9deb-4509986cea45	GET	 undefined 	/
20231213	14:10:26	93c1d142-7ebb-4fd5-9b59-cc89adeb9a88	GET	 undefined 	/css/style.css
20231213	14:14:47	4ad8c577-b25a-4578-9534-7cf45f8d239b	GET	 undefined 	/dave
20231213	14:14:47	37683dc6-7315-47df-a64b-bb6b9635e26d	GET	 undefined 	/css/style.css
20231213	15:12:50	d54ad086-6b2c-494d-9744-d879db9183c9	GET	 undefined 	/subdir
20231213	15:13:37	c1ad52cb-ea49-4b8f-81fc-46134d95e062	GET	 undefined 	/subdir/test
20231213	15:13:50	14bd32dd-99d9-4090-a684-0b80a5a3b74c	GET	 undefined 	/subdir/hmm
20231213	15:13:50	bd989648-c6cf-44cc-b5d3-0c25a359cc8b	GET	 undefined 	/subdir/css/style.css
20231213	15:14:10	d43ae903-306f-45ed-8855-f758d49efc85	GET	 undefined 	/subdihmm
20231213	15:14:10	86547b46-bbdc-46f6-87dc-26a693f9f744	GET	 undefined 	/css/style.css
20231213	15:16:17	8c814268-0769-4a4e-8b25-15160877e41e	GET	 undefined 	/subdir/404
20231213	15:16:17	29525f41-2343-4fa2-a3be-7efafb08475c	GET	 undefined 	/subdir/css/style.css
20231213	15:21:51	58fc724e-ba98-4981-bf8a-7152c792d500	GET	 undefined 	/new-page
20231213	15:21:51	edf2b69a-6c3d-450f-a509-9f69f324db9a	GET	 undefined 	/css/style.css
20231213	15:22:24	6cbfc705-0cc1-484a-ad4b-b3a91f820608	GET	 undefined 	/new-page
20231213	15:22:24	d081d1ce-b508-4e27-ace6-b1eb0c440211	GET	 undefined 	/css/style.css
20231213	15:23:43	846adb07-1282-44f8-a4ec-5682c8ed9f6d	GET	 undefined 	/new-page.html
20231213	15:23:43	929873bb-c7ca-48b7-9466-0a752df3f49d	GET	 undefined 	/img/img1.jpg
20231213	15:23:43	4b773afc-c0c6-4e88-8753-4569d40e866d	GET	 undefined 	/css/style.css
20231214	09:26:47	8993f153-677c-4738-b0ac-46f1f9c653a9	POST	 undefined 	/register
20231214	09:28:31	48fe3fff-a269-4c02-88d1-ace858fb8c92	POST	 undefined 	/register
20231214	09:30:29	238ff502-76c7-484c-9ae6-e0f0a2a2f0f8	POST	 undefined 	/register
20231214	09:31:26	50e695b4-8d40-4755-9a58-a4fb78b56711	POST	 undefined 	/register
20231214	09:46:04	8f382bb0-059d-4f86-a2a0-b7ff36c652bc	POST	 undefined 	/auth
20231214	09:46:40	6a1ae058-f4e4-4ed7-b64d-380c83cda39d	POST	 undefined 	/auth
20231214	09:46:56	82ea7deb-6708-4cee-b240-3bf0a42029a0	POST	 undefined 	/register
20231214	09:47:59	6773371c-b50a-48f4-a97d-5f33160681d6	POST	 undefined 	/register
20231214	09:48:01	edc42862-6db1-497c-a6ea-c641d1a04dee	POST	 undefined 	/register
20231214	09:48:30	a0cebc1a-ea57-4e8a-a943-9e79dc8fec15	POST	 undefined 	/register
20231214	10:59:33	db1dc2c6-a86b-43e7-bee8-f4f31825bcc2	POST	 undefined 	/auth
20231214	11:06:45	78c36efc-7799-46b1-86fa-58143abfbc09	POST	 undefined 	/auth
20231214	11:07:10	6585e061-2604-411c-9ee5-cd987ef07450	POST	 undefined 	/auth
20231214	11:10:52	b7239ed0-e227-436d-bb19-d4716b465714	GET	 undefined 	/register
20231214	11:11:01	717f904b-21f9-490f-adf8-d49be19e3c7f	POST	 undefined 	/auth
20231214	11:11:13	5ebdae5c-61dc-4be2-bf05-ed2bea2e0619	GET	 undefined 	/register
20231214	11:11:50	dcbafdc3-ccd7-4d85-86f0-a6310d103c6d	POST	 undefined 	/auth
20231214	11:11:56	9167fed3-96c9-43f0-a7fd-caa7b1030247	GET	 undefined 	/employees
20231214	11:12:22	000ce939-b147-47e1-888a-998c671179c3	GET	 undefined 	/employees
20231214	11:12:22	f8efb0f9-b3bc-489c-9c4b-2c0996dbdc9e	GET	 undefined 	/employees
20231214	11:12:23	3cc18e91-c811-4cd0-9c3f-a9686d33dace	GET	 undefined 	/employees
20231214	11:13:59	02ab5ec8-c0a5-48fe-82f7-9fbf67c31da2	POST	 undefined 	/auth
20231214	11:14:05	b9fa0aac-d0f3-4f51-a546-f6b82126920e	GET	 undefined 	/employees
20231214	11:14:12	8d95ab97-34c9-49db-8dfc-9c3df8ec26b2	GET	 undefined 	/employees
20231214	11:36:29	76d8bb5e-ec15-4d09-b066-487b0f5bb602	POST	 undefined 	/auth
20231214	11:37:50	50307b6c-757d-4fdf-858e-8504e1e97e0f	GET	 undefined 	/refresh
